Gender,Married,Dependents,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Education_Not Graduate,Property_Area_Semiurban,Property_Area_Urban
1,1,1.0,0,2363.0,9843.0,179.0,180.0,1.0,0,0,1,0
0,1,3.0,0,16383.0,4177.0,341.0,314.1662255161461,0.0,0,0,1,0
0,0,2.0,1,13645.0,7211.0,325.0,360.0,1.0,1,1,1,0
0,1,0.0,0,4555.0,7873.0,425.0,360.0,1.0,1,0,1,0
1,1,0.0,0,23017.0,3841.0,104.0,360.0,1.0,1,0,0,1
1,0,0.0,0,13686.0,7098.0,627.0,240.0,0.0,0,1,0,0
1,1,0.0,0,4182.0,6416.0,75.0,360.0,1.0,1,0,1,0
0,0,0.0,0,14382.0,10633.0,490.0,360.0,0.0,0,0,0,0
0,1,2.0,0,6778.0,14097.0,246.0,180.0,1.0,1,0,0,0
0,1,0.0,1,15305.0,4885.0,691.0,360.0,1.0,0,0,1,0
1,1,0.0,0,23332.0,594.0,292.0,360.0,1.0,1,1,1,0
0,1,0.0,0,18497.0,14393.0,239.0,180.0,1.0,1,1,0,0
0,0,2.0,0,3372.0,2612.0,617.0,360.0,1.0,0,0,0,1
1,1,0.0,0,12846.0,12288.0,616.0,360.0,1.0,0,0,0,1
1,1,1.0,0,9223.0,6359.0,325.0,360.0,1.0,1,0,0,0
1,1,0.0,0,15371.0,1496.0,458.0,360.0,0.0,0,1,0,1
1,1,3.0,0,17446.0,3555.0,389.0,360.0,1.0,1,0,0,0
0,0,3.0,0,8689.0,4861.0,202.0,300.0,1.0,1,0,0,0
1,1,0.0,0,14252.0,4766.0,614.0,360.0,1.0,0,0,1,0
1,0,0.0,0,13065.0,3358.0,447.0,180.0,1.0,1,0,0,0
0,1,0.0,0,23270.0,14846.0,493.0,360.0,0.752571737953438,0,0,1,0
1,1,0.0,0,8442.0,9793.0,672.0,360.0,1.0,0,1,0,0
1,0,2.0,0,16230.0,914.0,476.0,360.0,1.0,1,1,0,0
1,1,3.0,0,12883.0,1844.0,536.0,360.0,0.752571737953438,0,0,0,1
1,1,2.0,0,1744.0,1995.0,253.0,360.0,1.0,0,0,1,0
0,1,3.0,0,1520.0,7625.0,161.0,360.0,0.0,0,0,1,0
1,0,0.0,0,15417.0,94.0,374.0,360.0,1.0,1,1,0,1
0,1,0.0,0,15221.0,8684.0,307.0,360.0,1.0,1,0,1,0
0,1,2.0,0,7267.0,3069.0,577.0,314.1662255161461,1.0,0,0,1,0
1,0,0.0,0,11747.0,149.0,399.0,360.0,1.0,1,0,1,0
0,1,2.0,0,5015.0,1046.0,484.0,360.0,1.0,1,0,0,1
1,1,0.0,0,3410.0,2803.0,475.0,360.0,1.0,0,0,1,0
1,1,0.0,0,23766.0,5334.0,329.0,360.0,0.0,0,1,0,0
0,1,0.9619249074563723,1,12250.0,8590.0,420.0,240.0,0.0,0,0,1,0
0,1,0.0,0,9576.0,14745.0,298.0,360.0,1.0,1,0,0,0
0,1,0.9619249074563723,1,19506.0,14466.0,230.0,360.0,1.0,1,0,0,0
1,1,0.9619249074563723,0,16551.0,13142.0,127.0,360.0,0.752571737953438,0,0,0,1
1,1,2.0,0,5814.0,14483.0,385.0,240.0,1.0,1,1,1,0
0,1,2.0,0,3953.0,4476.0,99.0,360.0,0.0,0,0,0,1
1,1,1.0,0,3515.0,7276.0,134.0,360.0,1.0,0,1,0,1
1,0,3.0,0,11736.0,551.0,53.0,360.0,1.0,1,0,0,1
0,1,0.0,0,4300.0,8486.0,366.0,360.0,0.0,0,0,0,0
1,1,1.0,1,10523.0,1143.0,160.0,360.0,1.0,1,0,1,0
0,1,1.0,0,13384.0,455.0,383.0,300.0,0.752571737953438,0,0,0,1
1,0,0.0,0,17852.0,9745.0,182.0,180.0,1.0,1,0,1,0
0,0,0.0,1,14382.0,8360.0,661.0,360.0,1.0,0,1,0,1
1,1,0.0,0,11846.0,12997.0,168.0,360.0,1.0,1,0,0,0
0,0,1.0,1,24636.0,1946.0,399.0,360.0,0.0,0,0,1,0
0,1,3.0,0,15535.0,6115.0,591.0,360.0,0.0,0,1,1,0
1,1,0.0,1,17608.0,7310.0,104.0,360.0,1.0,1,1,1,0
0,1,3.0,1,4353.0,6180.0,410.0,360.0,0.752571737953438,0,0,0,0
0,1,2.0,0,20120.0,5817.0,502.0,314.1662255161461,0.0,0,1,1,0
0,1,3.0,0,5676.0,5380.0,602.0,360.0,1.0,0,0,0,1
0,0,1.0,0,3655.0,6374.0,379.0,300.0,0.752571737953438,0,0,0,1
0,0,2.0,0,23582.0,8445.0,268.0,360.0,0.0,0,1,1,0
0,0,0.0,0,8329.0,10568.0,257.0,360.0,0.0,0,0,0,0
1,1,3.0,0,3386.0,8070.0,134.0,360.0,0.752571737953438,0,0,1,0
1,1,0.0,0,7971.0,1320.0,294.0,240.0,1.0,1,0,0,1
1,0,3.0,0,21654.0,7123.0,384.0,360.0,0.0,0,1,0,0
1,1,0.9619249074563723,0,14089.0,6153.0,261.0,240.0,1.0,1,1,0,1
1,1,0.0,0,9891.0,6589.0,645.0,240.0,0.0,0,0,0,1
1,1,0.0,0,20824.0,11075.0,232.0,180.0,1.0,1,0,0,0
0,0,2.0,0,21374.0,3607.0,182.0,180.0,1.0,1,0,0,0
1,1,0.0,0,14850.0,10317.0,399.0,180.0,1.0,1,0,1,0
1,1,3.0,0,9399.0,11688.0,331.0,180.0,1.0,1,0,0,0
0,0,0.0,1,1806.0,10432.0,342.0,360.0,1.0,0,1,0,0
1,1,0.0,0,4575.0,400.0,318.0,180.0,0.0,0,0,0,1
0,1,0.9619249074563723,0,19540.0,10348.0,246.0,300.0,0.0,0,0,0,0
1,1,2.0,0,8744.0,6042.0,586.0,360.0,1.0,0,0,1,0
0,1,3.0,0,8111.0,14598.0,69.0,300.0,1.0,1,0,1,0
0,0,0.0,0,24206.0,10568.0,454.0,360.0,1.0,1,1,1,0
1,1,2.0,0,20576.0,362.0,164.0,360.0,1.0,1,0,1,0
1,1,1.0,0,15634.0,12130.0,75.0,360.0,1.0,1,0,1,0
0,0,1.0,0,19648.0,3851.0,615.0,360.0,1.0,0,0,0,1
0,0,2.0,0,1775.0,3412.0,444.0,240.0,1.0,0,0,0,1
0,0,1.0,0,6771.0,10498.0,430.0,300.0,1.0,1,0,1,0
0,1,0.0,0,8831.0,13646.0,572.0,240.0,0.0,0,0,0,0
1,1,0.0,0,13053.0,84.0,588.0,314.1662255161461,1.0,0,0,1,0
1,1,2.0,0,13073.0,13833.0,132.0,360.0,1.0,1,0,1,0
1,0,0.0,0,22909.0,1824.0,599.0,360.0,1.0,0,0,0,0
0,1,2.0,0,21934.0,12077.0,494.0,360.0,1.0,1,0,0,0
0,1,0.0,1,21344.0,8499.0,136.0,240.0,0.752571737953438,0,1,0,0
1,1,1.0,0,11572.0,12549.0,436.0,360.0,1.0,1,0,0,1
1,0,2.0,1,17517.0,10113.0,447.0,314.1662255161461,0.0,0,0,0,0
1,1,0.0,0,21719.0,8822.0,335.0,180.0,1.0,1,0,0,0
1,1,0.0,0,22162.0,4775.0,418.0,314.1662255161461,0.0,0,0,0,1
0,1,0.0,0,19728.0,13152.0,471.0,360.0,1.0,1,1,1,0
0,0,1.0,0,17955.0,7868.0,492.0,360.0,1.0,1,0,1,0
0,0,3.0,1,8886.0,7619.0,569.0,240.0,1.0,0,0,1,0
1,1,0.0,0,8362.0,7418.0,633.0,240.0,1.0,0,0,1,0
1,0,2.0,0,8840.0,2371.0,337.0,360.0,0.0,0,0,0,1
0,1,0.0,0,10987.0,7068.0,144.0,300.0,1.0,1,1,1,0
0,1,1.0,0,16561.0,3300.0,90.0,300.0,1.0,1,0,1,0
0,1,3.0,0,9135.0,5821.0,380.0,360.0,1.0,1,0,0,1
0,1,0.0,0,16104.0,14139.0,204.0,360.0,0.0,0,0,1,0
0,0,1.0,0,18927.0,7803.0,553.0,360.0,1.0,0,0,0,1
0,1,0.0,1,4542.0,11859.0,324.0,360.0,0.752571737953438,0,0,0,0
1,1,0.0,0,18698.0,7464.0,614.0,180.0,1.0,0,1,1,0
1,0,0.0,0,23506.0,726.0,228.0,360.0,1.0,1,0,1,0
1,1,0.0,0,11886.0,13548.0,186.0,180.0,1.0,1,1,1,0
1,0,1.0,0,13192.0,7121.0,229.0,180.0,1.0,1,0,1,0
0,1,0.0,0,16725.0,9840.0,231.0,360.0,0.0,0,0,0,1
1,1,1.0,0,18193.0,4312.0,308.0,360.0,1.0,1,0,1,0
0,0,0.0,1,8161.0,8000.0,292.0,360.0,1.0,1,1,0,1
0,0,0.0,0,11753.0,9461.0,145.0,360.0,1.0,1,0,0,1
